lga_canonical,year,lga_code,ndvi,nlr,no2,population,z_nlr,z_no2,z_ndvi,urbanicity_index
Ibeju Lekki,2013,9,0.612128,0.394476,,124096.0,-1.3992328074206886,,2.109816218275068,-1.7545245128478784
Ibeju Lekki,2014,9,0.522102,0.369889,,128067.0,-1.4495322066177758,,1.7736663835095643,-1.61159929506367
Ibeju Lekki,2015,9,0.497143,0.561954,,132165.0,-1.4860106319706463,,2.003675761190571,-1.7448431965806086
Ibeju Lekki,2016,9,0.512168,0.604036,,136394.0,-1.4182386133198754,,1.9114418479925632,-1.6648402306562191
Ibeju Lekki,2017,9,0.471937,0.843088,,140759.0,-1.4126175090422042,,1.7136212258049337,-1.5631193674235688
Ibeju Lekki,2018,9,0.50993,1.397887,,145263.0,-1.354780792765092,,1.8462130496662084,-1.60049692121565
Ibeju Lekki,2019,9,0.512803,1.499284,2.7e-05,149911.0,-1.3683302362348426,-1.5593789830337477,1.78259344532249,-1.5701008881970264
Ibeju Lekki,2020,9,0.518832,2.602914,2.7e-05,154708.0,-1.2930123912096498,-1.5925639175944175,1.8707234671917303,-1.585433258665266
Ibeju Lekki,2021,9,0.540523,2.852667,2.9e-05,159659.0,-1.2475408237474623,-1.6138878115353326,2.119687924586842,-1.6603721866232124
Ibeju Lekki,2022,9,0.470701,2.521846,2.9e-05,164768.0,-1.3071578239603616,-1.5909110451351978,1.9844845882745408,-1.6275178191233666
Ibeju Lekki,2023,9,0.525541,2.902524,2.7e-05,170041.0,-1.2555900735971208,-1.6429975743929457,1.9424011972990096,-1.613662948429692
Ibeju Lekki,2024,9,0.53533,4.400062,3e-05,175482.0,-1.1266916068036188,-1.4628099918264532,2.058254063842808,-1.54925188749096
Ibeju Lekki,2025,9,0.430249,5.117738,2.9e-05,181097.0,-1.0825239394800097,-1.469094509516188,1.6092469108197929,-1.3869551199386636
Ibeju Lekki,2026,9,0.486266,6.808597,3e-05,181097.0,-0.8085675069196052,-1.467718301707975,1.87050861944634,-1.3822648093579737
Ifako/Ijaye,2005,10,0.270841,,,744323.0,,,-0.5089411678090805,0.5089411678090805
Ifako/Ijaye,2006,10,0.23925,,,744323.0,,,-0.6076109433446001,0.6076109433446001
Ifako/Ijaye,2007,10,0.209484,,,768141.0,,,-0.6516441173381372,0.6516441173381372
Ifako/Ijaye,2008,10,0.247111,,,792562.0,,,-0.4414787681393941,0.4414787681393941
Ifako/Ijaye,2009,10,0.252024,,,817604.0,,,-0.4328062004341739,0.4328062004341739
Ifako/Ijaye,2010,10,0.248019,,,843275.0,,,-0.498921143433383,0.498921143433383
Ifako/Ijaye,2011,10,0.193684,,,869580.0,,,-0.7077396374813709,0.7077396374813709
Ifako/Ijaye,2012,10,0.208131,8.964466,,896542.0,-0.0551454026996661,,-0.6575816177695111,0.3012181075349225
Ifako/Ijaye,2013,10,0.240766,8.828159,,924179.0,-0.0291671208869945,,-0.7267634537522764,0.3487981664326409
Ifako/Ijaye,2014,10,0.231169,11.206993,,952509.0,0.351910221331273,,-0.6019149780080479,0.4769125996696605
Ifako/Ijaye,2015,10,0.174531,10.766425,,981589.0,0.3136782940307149,,-0.7615536540420969,0.5376159740364059
Ifako/Ijaye,2016,10,0.180005,9.036054,,1011459.0,0.1819009194775658,,-0.8249312795023223,0.503416099489944
Ifako/Ijaye,2017,10,0.18566,7.728998,,1041826.0,-0.1373118409357554,,-0.7856717293635631,0.3241799442139038
Ifako/Ijaye,2018,10,0.210246,8.51579,,1073165.0,-0.2337077714476429,,-0.6386339765240411,0.202463102538199
Ifako/Ijaye,2019,10,0.208118,9.394585,5.7e-05,1105506.0,0.0612200065545834,0.0509951818892276,-0.6197276427273866,0.2439809437237325
Ifako/Ijaye,2020,10,0.20619,11.944565,5.7e-05,1138882.0,0.202021006368398,0.2001909614987358,-0.6354500930787963,0.3458873536486433
Ifako/Ijaye,2021,10,0.204453,10.778862,7.1e-05,1173322.0,0.0185294068267634,0.0934997976456244,-0.57774172126613,0.2299236419128393
Ifako/Ijaye,2022,10,0.183061,10.688931,7.4e-05,1208864.0,-0.0706429908299669,0.3840130108947019,-0.652221231179306,0.3218637504146803
Ifako/Ijaye,2023,10,0.216932,10.081813,7.2e-05,1245544.0,-0.1753389592950503,0.5031531033336886,-0.5596769000595317,0.2958303480327233
Ifako/Ijaye,2024,10,0.214865,11.43586,6.5e-05,1283401.0,-0.0944769912886918,0.513960267398484,-0.6659165399031233,0.3617999386709718
Ifako/Ijaye,2025,10,0.220324,12.616134,6.2e-05,1322470.0,-0.1004593040452379,0.4662395748763952,-0.4566001817580245,0.2741268175297273
Ifako/Ijaye,2026,10,0.220425,11.089952,6.3e-05,1322470.0,-0.1688887541917937,0.5337157460756276,-0.5666495100429261,0.31049216730892
Ikeja,2005,11,0.248341,,,648720.0,,,-0.6914236349688663,0.6914236349688663
Ikeja,2006,11,0.23125,,,648720.0,,,-0.675827894642335,0.675827894642335
Ikeja,2007,11,0.199085,,,669475.0,,,-0.7393069014853544,0.7393069014853544
Ikeja,2008,11,0.225759,,,690858.0,,,-0.6166858180394412,0.6166858180394412
