lga_canonical,lga_code,year,ndvi,nlr,no2,population,urbanicity_index,htn,cvd,dm,pct_unskilled,pct_semiskilled,z_ndvi,z_nlr,z_no2,z_pct_unskilled,log_pop,lga_idx,year_idx
Ibeju Lekki,9,2023,0.525541,2.902524,2.7e-05,170041.0,-1.613662948429692,1,1,0,0.0,75.0,1.9424011972990096,-1.2555900735971208,-1.6429975743929457,-3.3336032564824394,12.043794863424617,8,2
Ibeju Lekki,9,2024,0.53533,4.400062,3e-05,175482.0,-1.54925188749096,0,0,0,0.0,75.0,2.0582540638428077,-1.1266916068036188,-1.4628099918264532,-3.3336032564824394,12.075291752525436,8,3
Ibeju Lekki,9,2025,0.430249,5.117738,2.9e-05,181097.0,-1.3869551199386636,0,0,0,0.0,75.0,1.6092469108197929,-1.0825239394800095,-1.469094509516188,-3.3336032564824394,12.106788078300834,8,4
Ifako/Ijaye,10,2021,0.204453,10.778862,7.1e-05,1173322.0,0.2299236419128393,0,0,101,15.50632911392405,60.75949367088608,-0.57774172126613,0.01852940682676348,0.09349979764562444,-0.01758931416925928,13.975349599768611,9,0
Ifako/Ijaye,10,2022,0.183061,10.688931,7.4e-05,1208864.0,0.3218637504146803,24,14,30,15.50632911392405,60.75949367088608,-0.652221231179306,-0.07064299082996692,0.38401301089470197,-0.01758931416925928,14.005191633608616,9,1
Ifako/Ijaye,10,2023,0.216932,10.081813,7.2e-05,1245544.0,0.2958303480327233,70,41,59,15.50632911392405,60.75949367088608,-0.5596769000595317,-0.17533895929505033,0.5031531033336886,-0.01758931416925928,14.035082940238222,9,2
Ifako/Ijaye,10,2024,0.214865,11.43586,6.5e-05,1283401.0,0.3617999386709718,56,33,29,15.50632911392405,60.75949367088608,-0.6659165399031233,-0.09447699128869184,0.513960267398484,-0.01758931416925928,14.065024143478551,9,3
Ifako/Ijaye,10,2025,0.220324,12.616134,6.2e-05,1322470.0,0.2741268175297273,124,56,32,15.50632911392405,60.75949367088608,-0.4566001817580245,-0.10045930404523791,0.4662395748763952,-0.01758931416925928,14.09501175814728,9,4
Ikeja,11,2021,0.192169,18.066039,9.9e-05,1035985.0,1.0302079598861127,0,0,107,18.401206636500756,60.030165912518854,-0.676337923752689,1.1825277521393875,1.231758203766262,0.6014775298030822,13.850863222932269,10,0
Ikeja,11,2022,0.196596,18.738716,9.3e-05,1069136.0,0.9647107733262972,31,8,50,18.401206636500756,60.030165912518854,-0.5281501240095529,1.1481123614175675,1.217869834551771,0.6014775298030822,13.882361403617713,10,1
Ikeja,11,2023,0.20213,18.496315,8.9e-05,1103349.0,1.0281261791036964,81,38,81,18.401206636500756,60.030165912518854,-0.6796855841779507,1.0907718159916109,1.3139211371415278,0.6014775298030822,13.913860657980097,10,2
Ikeja,11,2024,0.224361,20.134943,7.9e-05,1138656.0,1.023872962281421,87,27,37,18.401206636500756,60.030165912518854,-0.5851940770657733,1.181756438690031,1.3046683710884592,0.6014775298030822,13.945359177497112,10,3
