disease,scenario,lga_canonical,cases_status_quo_mean,cases_scenario_mean,cases_avoided_median,cases_avoided_mean,cases_avoided_2.5,cases_avoided_97.5,P_avoided_gt_0,significant_95
htn,ndvi_plus_10,Ajeromi/Ifelodun,0.15058487905597442,0.15210830752237445,-0.0007141991919318042,-0.0015234284664000061,-0.015544179768175228,0.00705447798229321,0.36,no
htn,ndvi_plus_10,Alimosho,56.4086937854494,57.361566246962,-0.7193578219807808,-0.9528724615125984,-7.858778983924574,4.226959546785475,0.36,no
htn,ndvi_plus_10,Amuwo Odofin,3.1680792849498514,3.250255048661521,-0.053711531901333154,-0.0821757637116699,-0.6285706989775949,0.32340945430496204,0.36,no
htn,ndvi_plus_10,Apapa,1.9215916425278055,1.943081844809114,-0.01651213100076865,-0.02149020228130851,-0.16031151107075364,0.10452276334728859,0.36,no
htn,ndvi_plus_10,Badagry,1.3511972004078496,1.391483713417334,-0.028365436427133517,-0.040286513009484534,-0.34215216690425515,0.1546737017395645,0.36,no
htn,ndvi_plus_10,Epe,0.8884699038114446,0.9155761902873578,-0.01530426206217575,-0.027106286475913195,-0.22114423485889617,0.10783922562511518,0.36,no
htn,ndvi_plus_10,Eti Osa,8.045648177478807,8.16969283140028,-0.0951251330467735,-0.12404465392147372,-0.957449710576946,0.5433315082916946,0.36,no
htn,ndvi_plus_10,Ibeju Lekki,0.2345107528262688,0.2434458025019561,-0.003856928045552044,-0.008935049675687284,-0.06203079845653331,0.030581323263504465,0.36,no
htn,ndvi_plus_10,Ifako/Ijaye,28.020465620803503,28.364576742181352,-0.2678256348911354,-0.3441111213778555,-2.8018614944118916,1.5928327132091282,0.36,no
htn,ndvi_plus_10,Ikeja,29.01520838454784,29.31786321420472,-0.2596389314386487,-0.30265482965688123,-2.634631554702809,1.6373468354717928,0.36,no
htn,ndvi_plus_10,Ikorodu,26.073294319534057,26.763327736194345,-0.505787116366756,-0.6900334166602875,-5.333439811162288,2.806009709546272,0.36,no
htn,ndvi_plus_10,Kosofe,19.47803486694424,19.923449399994993,-0.32323547320540946,-0.44541453305075324,-3.6693526027945205,1.6160687009706372,0.36,no
htn,ndvi_plus_10,Lagos Island,1.267391186270817,1.28251117211413,-0.011269858971126784,-0.015119985843312955,-0.12842221841614027,0.07015817396962933,0.36,no
htn,ndvi_plus_10,Lagos Mainland,3.7545242133356824,3.7797164831735044,-0.021242900398592002,-0.025192269837822235,-0.2163285947211988,0.1466302934558629,0.36,no
htn,ndvi_plus_10,Mushin,5.62614479527368,5.681569120492644,-0.044207712213198636,-0.055424325218964426,-0.4688340580387754,0.2672286301693835,0.36,no
htn,ndvi_plus_10,Ojo,12.714324382633926,13.077265624992036,-0.24527794907233247,-0.3629412423581101,-3.0726402276839697,1.330056713590289,0.36,no
htn,ndvi_plus_10,Oshodi/Isolo,15.819828237543549,16.066478866715862,-0.18752312170285723,-0.24665062917231045,-2.0458490110964958,1.1258063740232833,0.36,no
htn,ndvi_plus_10,Shomolu,7.907941817708621,7.986698081141143,-0.05793678813002412,-0.07875626343252126,-0.6298255549162541,0.34546942315408385,0.36,no
htn,ndvi_plus_10,Surulere,6.494522447338373,6.545875869744836,-0.044858446176841316,-0.051353422406461444,-0.4210301778013127,0.2728605455826119,0.36,no
htn,ndvi_plus_10,LAGOS STATE,244.58687862195669,248.61789333101402,-3.008525102020105,-4.031014709057347,-33.856461949975255,17.024998436654958,0.36,no
htn,ndvi_plus_20,Agege,16.246422723514982,16.56914807410266,-0.23153087253827653,-0.32272535058767976,-2.689675060115516,1.4450274679805284,0.36,no
htn,ndvi_plus_20,Ajeromi/Ifelodun,0.15058487905597442,0.15376868876123212,-0.001446345643640259,-0.0031838097052576835,-0.032166507803639235,0.0139100000092311,0.36,no
htn,ndvi_plus_20,Alimosho,56.4086937854494,58.45043512273917,-1.4528706752878797,-2.041741337289773,-16.35152171171706,8.206037065697164,0.36,no
